Bruinbase> Bruinbase> Bruinbase> { key: 2, pid: 1277 | 3 } 
{ key: 3, pid: 1145 | 3 } 
{ key: 4, pid: 379 | 5 } 
{ key: 5, pid: 81 | 2 } 
{ key: 6, pid: 1289 | 3 } 
{ key: 9, pid: 962 | 8 } 
{ key: 12, pid: 1147 | 2 } 
{ key: 13, pid: 937 | 7 } 
{ key: 14, pid: 1317 | 5 } 
{ key: 15, pid: 914 | 3 } 
{ key: 16, pid: 196 | 3 } 
{ key: 17, pid: 168 | 0 } 
{ key: 20, pid: 990 | 8 } 
{ key: 22, pid: 73 | 6 } 
{ key: 25, pid: 134 | 4 } 
{ key: 26, pid: 187 | 8 } 
{ key: 27, pid: 725 | 7 } 
{ key: 28, pid: 1168 | 6 } 
{ key: 30, pid: 1319 | 3 } 
{ key: 31, pid: 1125 | 5 } 
{ key: 32, pid: 325 | 5 } 
{ key: 33, pid: 1192 | 4 } 
{ key: 36, pid: 706 | 6 } 
{ key: 38, pid: 1223 | 7 } 
{ key: 40, pid: 964 | 5 } 
{ key: 44, pid: 757 | 3 } 
{ key: 45, pid: 1285 | 7 } 
{ key: 46, pid: 59 | 2 } 
{ key: 50, pid: 92 | 1 } 
{ key: 53, pid: 1128 | 4 } 
{ key: 55, pid: 440 | 8 } 
{ key: 57, pid: 1212 | 8 } 
{ key: 58, pid: 939 | 3 } 
{ key: 61, pid: 1337 | 4 } 
{ key: 63, pid: 282 | 1 } 
{ key: 66, pid: 530 | 8 } 
{ key: 68, pid: 697 | 2 } 
{ key: 69, pid: 1226 | 5 } 
{ key: 71, pid: 957 | 6 } 
{ key: 72, pid: 1090 | 0 } 
{ key: 73, pid: 554 | 7 } 
{ key: 76, pid: 1180 | 0 } 
{ key: 77, pid: 1141 | 5 } 
{ key: 78, pid: 903 | 0 } 
{ key: 79, pid: 1147 | 1 } 
{ key: 80, pid: 746 | 7 } 
{ key: 81, pid: 546 | 3 } 
{ key: 83, pid: 29 | 5 } 
{ key: 84, pid: 1228 | 0 } 
{ key: 85, pid: 222 | 7 } 
{ key: 86, pid: 1247 | 1 } 
{ key: 87, pid: 1021 | 6 } 
{ key: 88, pid: 479 | 8 } 
{ key: 89, pid: 417 | 1 } 
{ key: 90, pid: 500 | 6 } 
{ key: 92, pid: 122 | 3 } 
{ key: 93, pid: 1344 | 5 } 
{ key: 94, pid: 1192 | 7 } 
{ key: 97, pid: 996 | 7 } 
{ key: 100, pid: 575 | 0 } 
{ key: 101, pid: 1051 | 3 } 
{ key: 102, pid: 436 | 6 } 
{ key: 103, pid: 621 | 7 } 
{ key: 104, pid: 577 | 1 } 
{ key: 105, pid: 398 | 0 } 
{ key: 106, pid: 104 | 0 } 
{ key: 110, pid: 263 | 6 } 
{ key: 111, pid: 1309 | 8 } 
{ key: 112, pid: 539 | 3 } 
{ key: 114, pid: 38 | 1 } 
{ key: 116, pid: 869 | 4 } 
{ key: 117, pid: 639 | 3 } 
{ key: 118, pid: 1340 | 4 } 
{ key: 120, pid: 726 | 4 } 
{ key: 121, pid: 417 | 2 } 
{ key: 122, pid: 1043 | 6 } 
{ key: 125, pid: 743 | 3 } 
{ key: 126, pid: 1073 | 8 } 
{ key: 129, pid: 1155 | 5 } 
{ key: 130, pid: 1000 | 1 } 
{ key: 132, pid: 1134 | 5 } 
{ key: 133, pid: 1082 | 7 } 
{ key: 134, pid: 91 | 1 } 
{ key: 135, pid: 1074 | 4 } 
{ key: 136, pid: 941 | 7 } 
{ key: 137, pid: 1297 | 0 } 
{ key: 138, pid: 77 | 8 } 
{ key: 139, pid: 58 | 1 } 
{ key: 140, pid: 756 | 2 } 
{ key: 141, pid: 459 | 4 } 
{ key: 142, pid: 934 | 7 } 
{ key: 145, pid: 621 | 1 } 
{ key: 146, pid: 549 | 2 } 
{ key: 147, pid: 473 | 1 } 
{ key: 148, pid: 53 | 4 } 
{ key: 149, pid: 52 | 1 } 
{ key: 151, pid: 567 | 8 } 
{ key: 152, pid: 892 | 5 } 
{ key: 153, pid: 138 | 5 } 
{ key: 154, pid: 479 | 2 } 
{ key: 156, pid: 83 | 5 } 
{ key: 157, pid: 365 | 8 } 
{ key: 158, pid: 1118 | 7 } 
{ key: 159, pid: 985 | 2 } 
{ key: 160, pid: 1272 | 5 } 
{ key: 161, pid: 1252 | 5 } 
{ key: 162, pid: 501 | 6 } 
{ key: 163, pid: 1281 | 6 } 
{ key: 165, pid: 1225 | 8 } 
{ key: 166, pid: 1028 | 7 } 
{ key: 169, pid: 312 | 0 } 
{ key: 170, pid: 440 | 4 } 
{ key: 171, pid: 1010 | 8 } 
{ key: 172, pid: 987 | 1 } 
{ key: 173, pid: 958 | 8 } 
{ key: 175, pid: 562 | 2 } 
{ key: 176, pid: 1038 | 0 } 
{ key: 177, pid: 923 | 5 } 
{ key: 178, pid: 1172 | 3 } 
{ key: 180, pid: 1269 | 0 } 
{ key: 182, pid: 477 | 5 } 
{ key: 183, pid: 464 | 1 } 
{ key: 184, pid: 760 | 2 } 
{ key: 185, pid: 493 | 2 } 
{ key: 186, pid: 912 | 4 } 
{ key: 187, pid: 1068 | 1 } 
{ key: 188, pid: 1282 | 6 } 
{ key: 189, pid: 622 | 2 } 
{ key: 190, pid: 1042 | 0 } 
{ key: 191, pid: 1340 | 8 } 
{ key: 192, pid: 917 | 8 } 
{ key: 194, pid: 582 | 5 } 
{ key: 195, pid: 1289 | 6 } 
{ key: 197, pid: 846 | 4 } 
{ key: 198, pid: 548 | 6 } 
{ key: 199, pid: 95 | 7 } 
{ key: 200, pid: 1015 | 0 } 
{ key: 201, pid: 1149 | 7 } 
{ key: 202, pid: 184 | 8 } 
{ key: 203, pid: 1192 | 3 } 
{ key: 204, pid: 70 | 6 } 
{ key: 205, pid: 642 | 1 } 
{ key: 207, pid: 333 | 5 } 
{ key: 208, pid: 47 | 6 } 
{ key: 209, pid: 281 | 0 } 
{ key: 212, pid: 725 | 5 } 
{ key: 213, pid: 533 | 0 } 
{ key: 214, pid: 1274 | 7 } 
{ key: 215, pid: 5 | 7 } 
{ key: 218, pid: 779 | 0 } 
{ key: 219, pid: 674 | 0 } 
{ key: 220, pid: 895 | 4 } 
{ key: 227, pid: 190 | 7 } 
{ key: 228, pid: 699 | 0 } 
{ key: 229, pid: 323 | 2 } 
{ key: 234, pid: 869 | 2 } 
{ key: 235, pid: 18 | 1 } 
{ key: 236, pid: 578 | 5 } 
{ key: 237, pid: 105 | 6 } 
{ key: 238, pid: 797 | 1 } 
{ key: 239, pid: 178 | 5 } 
{ key: 240, pid: 1033 | 4 } 
{ key: 241, pid: 1144 | 3 } 
{ key: 243, pid: 1143 | 8 } 
{ key: 245, pid: 1119 | 8 } 
{ key: 246, pid: 896 | 0 } 
{ key: 248, pid: 986 | 3 } 
{ key: 249, pid: 1262 | 1 } 
{ key: 250, pid: 1206 | 0 } 
{ key: 251, pid: 404 | 8 } 
{ key: 252, pid: 1023 | 6 } 
{ key: 254, pid: 274 | 6 } 
{ key: 255, pid: 1128 | 6 } 
{ key: 257, pid: 1165 | 8 } 
{ key: 258, pid: 267 | 7 } 
{ key: 259, pid: 934 | 3 } 
{ key: 260, pid: 1104 | 3 } 
{ key: 263, pid: 352 | 8 } 
{ key: 264, pid: 945 | 5 } 
{ key: 265, pid: 1112 | 2 } 
{ key: 266, pid: 692 | 6 } 
{ key: 268, pid: 249 | 6 } 
{ key: 269, pid: 860 | 5 } 
{ key: 270, pid: 390 | 6 } 
{ key: 271, pid: 772 | 8 } 
{ key: 272, pid: 435 | 7 } 
{ key: 273, pid: 130 | 1 } 
{ key: 274, pid: 1125 | 4 } 
{ key: 275, pid: 210 | 0 } 
{ key: 276, pid: 1320 | 4 } 
{ key: 277, pid: 144 | 1 } 
{ key: 278, pid: 36 | 0 } 
{ key: 279, pid: 1103 | 4 } 
{ key: 280, pid: 1234 | 4 } 
{ key: 282, pid: 1042 | 4 } 
{ key: 284, pid: 4 | 1 } 
{ key: 287, pid: 409 | 4 } 
{ key: 288, pid: 1113 | 8 } 
{ key: 290, pid: 399 | 8 } 
{ key: 293, pid: 441 | 1 } 
{ key: 294, pid: 166 | 0 } 
{ key: 295, pid: 327 | 3 } 
{ key: 298, pid: 794 | 5 } 
{ key: 300, pid: 520 | 1 } 
{ key: 302, pid: 788 | 1 } 
